number,name,link,image,position,club,birthplace,height,mv,age
,Kaya Tarakci,7253,https://img.a.transfermarkt.technology/portrait/big/7253-1472902367.jpg,Goalkeeper,,Adana,188,,41
7,Göktug Ünüvar,725970,https://img.a.transfermarkt.technology/portrait/big/725970-1643572208.png,Left Winger,Eskisehirspor,Adana,180,25000,20
,Cetin Dogan,778863,https://img.a.transfermarkt.technology/portrait/big/778863-1590087952.jpg,Goalkeeper,,Adana,,,35
,Murat Sivaci,793364,https://img.a.transfermarkt.technology/portrait/big/793364-1594555719.jpg,attack,,Adana,,,27
10,Izzet Celik,811841,https://img.a.transfermarkt.technology/portrait/big/811841-1632346423.png,Attacking Midfield,Bayrampasa Spor,Adana,166,100000,18
,Melih Isdil,812976,https://img.a.transfermarkt.technology/portrait/big/812976-1619471709.jpeg,Right Winger,,Adana,,25000,21
,Safak Sari,814729,https://img.a.transfermarkt.technology/portrait/big/814729-1602010015.jpg,Centre-Back,Adana 1954 FK,Adana,,,27
,Ercan Diskaya,814965,https://img.a.transfermarkt.technology/portrait/big/814965-1603316013.jpg,Centre-Forward,5 Temmuz Iskenderun Spor,Adana,187,,23
,Azat Mamuk,814989,https://img.a.transfermarkt.technology/portrait/big/814989-1605388134.jpg,Right Winger,Adiyamanspor,Adana,165,,26
5,Cengiz Argüc Argin,814990,https://img.a.transfermarkt.technology/portrait/big/814990-1643495301.png,Defensive Midfield,Bartinspor,Adana,,,27
,Yunus Nas,815020,https://img.a.transfermarkt.technology/portrait/big/815020-1652376576.jpg,Centre-Forward,Yozgatspor 1959 FK,Adana,183,,21
3,Özcan Atalay,815424,https://img.a.transfermarkt.technology/portrait/big/815424-1600814126.jpg,Right-Back,Kahramanmarasspor,Adana,176,75000,22
,Oguzhan Gencer,815425,https://img.a.transfermarkt.technology/portrait/big/815425-1600814071.jpg,Defensive Midfield,Kozan Spor FK,Adana,,,22
,Emrecan Uzun,815780,https://img.a.transfermarkt.technology/portrait/big/815780-1632339711.png,Central Midfield,Adana Demirspor U19,Adana,170,50000,20
,Enez Türker,819842,https://img.a.transfermarkt.technology/portrait/big/819842-1603660316.jpg,Right Winger,Andirin Yesildag,Adana,,,20
72,Ertan Aydar,825870,https://img.a.transfermarkt.technology/portrait/big/825870-1645220008.jpg,Central Midfield,Ceyhan Spor,Adana,177,,18
,Baha Aygün,832055,https://img.a.transfermarkt.technology/portrait/big/832055-1615810858.jpeg,Central Midfield,,Adana,,50000,20
23,Fatih Sanlitürk,839596,https://img.a.transfermarkt.technology/portrait/big/839596-1606351708.png,Central Midfield,Ümraniyespor,Adana,180,250000,19
18,Ibrahim Aksu,845837,https://img.a.transfermarkt.technology/portrait/big/845837-1659130668.jpg,Centre-Back,Fatsa Belediyespor,Adana,190,50000,20
,Sahin Firat,85319,https://img.a.transfermarkt.technology/portrait/big/85319-1468850788.jpg,Centre-Back,Torbalispor,Adana,,,31
1,Oguzhan Dertli,860264,https://img.a.transfermarkt.technology/portrait/big/860264-1612266468.jpeg,Goalkeeper,Sapanca Genclikspor,Adana,187,,21
